date,arxiv,bioRxiv,medRxiv,pubmed
2019-11-30,1.0,0.0,0.0,76.0
2019-12-31,4.0,0.0,0.0,162.0
2020-01-31,7.0,30.0,8.0,346.0
2020-02-29,43.0,93.0,229.0,924.0
2020-03-31,260.0,239.0,811.0,2589.0
2020-04-30,724.0,527.0,1995.0,9049.0
2020-05-31,1139.0,863.0,3620.0,18771.0
2020-06-30,1485.0,1219.0,4749.0,28633.0
2020-07-31,1822.0,1499.0,5693.0,38381.0
2020-08-31,2098.0,1755.0,6437.0,49930.0
2020-09-30,2341.0,1964.0,7277.0,59351.0
2020-10-31,2608.0,2168.0,7944.0,69328.0
2020-11-30,2843.0,2386.0,8687.0,78463.0
2020-12-31,3073.0,2635.0,9288.0,87549.0
2021-01-31,3297.0,2844.0,9932.0,96892.0
2021-02-28,3506.0,3059.0,10511.0,106961.0
2021-03-31,3732.0,3303.0,11377.0,117248.0
2021-04-30,3932.0,3386.0,11568.0,127294.0
2021-05-31,3966.0,3386.0,11568.0,130534.0
