date,Clinical Studies,Epidemiology,Healthcare System,Infection,Mental Health,Mortality,Symptoms,Testing,Treatment,Vaccination
2019-11-30,4.0,6.0,3.0,6.0,1.0,4.0,2.0,9.0,0.0,42.0
2019-12-31,13.0,18.0,4.0,10.0,1.0,11.0,4.0,18.0,2.0,85.0
2020-01-31,27.0,27.0,44.0,29.0,7.0,55.0,13.0,24.0,11.0,154.0
2020-02-29,87.0,81.0,132.0,118.0,31.0,314.0,80.0,69.0,62.0,315.0
2020-03-31,306.0,318.0,453.0,400.0,97.0,915.0,261.0,204.0,328.0,617.0
2020-04-30,903.0,1004.0,1827.0,1495.0,455.0,2207.0,807.0,596.0,1727.0,1274.0
2020-05-31,2006.0,1785.0,3847.0,3146.0,1086.0,3610.0,1777.0,1156.0,3811.0,2169.0
2020-06-30,3167.0,2535.0,5828.0,4674.0,1772.0,4858.0,2671.0,1776.0,5590.0,3215.0
2020-07-31,4420.0,3191.0,7721.0,6205.0,2531.0,5931.0,3508.0,2348.0,7320.0,4220.0
2020-08-31,5753.0,4072.0,10205.0,7747.0,3485.0,7107.0,4426.0,2982.0,9033.0,5410.0
2020-09-30,7072.0,4760.0,12074.0,8983.0,4419.0,8087.0,5177.0,3553.0,10367.0,6441.0
2020-10-31,8418.0,5492.0,14053.0,10272.0,5444.0,9097.0,5869.0,4134.0,11734.0,7535.0
2020-11-30,9717.0,6146.0,15849.0,11395.0,6508.0,9992.0,6536.0,4728.0,12915.0,8593.0
2020-12-31,11005.0,6817.0,17613.0,12399.0,7702.0,10831.0,7141.0,5259.0,14091.0,9687.0
2021-01-31,12277.0,7534.0,19363.0,13401.0,8897.0,11750.0,7830.0,5830.0,15220.0,10863.0
2021-02-28,13669.0,8314.0,21284.0,14491.0,10189.0,12714.0,8462.0,6463.0,16358.0,12093.0
2021-03-31,15046.0,9105.0,23309.0,15549.0,11616.0,13767.0,9220.0,7111.0,17492.0,13445.0
2021-04-30,16285.0,9766.0,25261.0,16473.0,13006.0,14577.0,9954.0,7675.0,18550.0,14633.0
2021-05-31,16642.0,9961.0,25851.0,16811.0,13524.0,14835.0,10144.0,7856.0,18848.0,14982.0
